periodStartDate;periodEndDate;periodDuration;in minutes;minCupolaTemp;maxCupolaTemp;avgCupolaTemp;cupolaTempChangeRate;minSmokeTemp;maxSmokeTemp;smokeTempChangeRate;minGasFlowRate;maxGasFlowRate;avgGasFlowRate;sumGasFlowRate
26.09.2010 4:52;26.09.2010 8:31;3:38:33;218;1202;1304,3;1282,83;28,09;84,8;400;86,53;0;38532,54;32335,21;117964,09
26.09.2010 10:55;26.09.2010 14:56;4:01:00;241;1234,6;1287,3;1269,58;13,12;82,7;379,9;73,99;19102,7;34485,55;30757,41;123575,63
26.09.2010 17:29;26.09.2010 21:09;3:40:03;220;1223,1;1313,7;1299,1;24,7;88,4;384,4;80,71;13281,8;39312,01;33129,72;121610,25
26.09.2010 23:19;27.09.2010 2:45;3:25:49;205;1229;1326,9;1298,18;28,54;90,8;400,5;90,28;0;36664,77;31540,85;107774,22
27.09.2010 5:03;27.09.2010 8:17;3:14:07;194;1254,7;1326,3;1305,86;22,13;95,5;410,7;97,43;0;41217,58;32713,81;105845,78
27.09.2010 10:54;27.09.2010 14:12;3:17:49;197;1200;1322,2;1305,54;37,06;84;400;95,85;0;38159,25;31565,87;99442,84
28.09.2010 0:03;28.09.2010 3:22;3:18:42;198;1183,1;1279,8;1255,17;29,2;84,2;337,3;76,43;0;39277,99;33041,38;109447,07
28.09.2010 6:15;28.09.2010 9:52;3:36:53;216;1199,3;1311,3;1292,66;30,98;87,9;400;86,34;0;39440,97;31389,29;112857,91
29.09.2010 2:30;29.09.2010 6:33;4:02:29;242;1181;1320;1268,09;34,39;82,2;311,8;56,81;0;38937,27;32613,5;131985,2
29.09.2010 16:31;29.09.2010 20:53;4:21:56;261;1189,4;1305,6;1258,49;26,62;81,2;322,7;55,32;0;38490,62;31663,99;138391,8
29.09.2010 23:56;30.09.2010 4:08;4:12:11;252;1191,2;1299,2;1276,64;25,7;85,4;335,8;59,58;0;36473,21;33243,25;139900,91
30.09.2010 6:26;30.09.2010 10:38;4:12:29;252;1218,1;1284,5;1260,4;15,78;85,1;400,4;74,93;0;41445,87;33057,38;139168,48
30.09.2010 20:40;01.10.2010 0:25;3:45:08;225;1205;1307,8;1287,89;27,4;74,2;378,3;81,05;0;39742,23;32235,67;121001,2
